name,gender
aabel,male
aabraham,male
aabram,male
aabrami,male
aada,female
aada-amanda,female
aada-Emilia,female
aada-Lotta,female
aada-Mari,female
aada-Maria,female
aada-olivia,female
aada-sofia,female
aadaliina,female
aadalmiina,female
aadam,male
aadan,male
aadel,male
aaden,male
aadi,male
aadiel,male
aadil,male
aadolf,male
aadolfiina,female
aage,male
aagot,female
aahil,male
aaisha,female
aake,male
aakke,male
aaku,male
aakusti,male
aala,female
aale,male
aali,female
aalia,female
aaliya,female
aaliyah,female
aallos,male
aallotar,female
aalo,female
aalto,male
aam,male
aamer,male
aamina,female
aamir,male
aamo,male
aamon,male
aamos,male
aamu,female
aamu-Ilona,female
aamu-Tuuli,female
aamunvalo,male
aamurusko,female
aamutähti,female
aana,female
aanon,male
aapa,male
aape,male
aapel,male
aapeli,male
aapi,male
aapo,male
aapo-Eemeli,male
aapo-Matti,male
aaponpoika,male
aappi,male
aappo,male
aapraham,male
aapram,male
aaprami,male
aapro,male
aara,female
aarav,male
aare,male
aares,male
aaret,male
aaretti,male
aari,male
aaria,female
aarika,female
aarikka,female
aario,male
aarla,female
aarna,female
aarne,male
aarne-Kustaa,male
aarnenpoika,male
aarni,male
aarnio,male
aarno,male
aarnonpoika,male
aaro,male
aaro-Matti,male
aaron,male
aaroni,male
aaronpoika,male
aarre,male
aarret,male
aarretti,male
aarto,male
aarush,male
aarón,male
aasa,female
aasia,female
aasiya,female
aasse-poika,male
aata,female
aatami,male
aataminpoika,male
aate,male
aati,male
aato,male
aatos,male
aatovi,male
aatte,male
aatto,male
aattu,male
aatu,male
aatu-Eemeli,male
aatu-oskari,male
aava,female
aava-Maria,female
aavi,female
aavo,male
aaya,female
aayan,male
aayush,male
aba,female
abaas,male
abakar,male
abas,male
abayomi,male
abbas,male
abbe,male
abbood,male
abby,female
abd,female
abdala,male
abdalla,male
abdallah,male
abdalle,male
abdel,male
abdelali,male
abdelatif,male
abdelaziz,male
abdelfattah,male
abdelghani,male
abdelhafid,male
abdelhak,male
abdelhakim,male
abdelhamid,male
abdelilah,male
abdeljalil,male
abdelkader,male
abdelkarim,male
abdelkrim,male
abdellah,male
abdellatif,male
abdelmajid,male
abdelmalek,male
abdelrahman,male
abdelrazzaq,female
abder,male
abderahman,male
abderrahim,male
abderrahman,male
abderrahmane,male
abderrazak,male
abdeslam,male
abdi,female
abdi-Rahman,male
abdiasis,male
abdiaziz,male
abdifatah,female
abdifitaah,male
abdifitah,male
abdigadir,male
abdigani,male
abdihakiim,male
abdihakim,male
abdihakin,male
abdihamid,male
abdijabar,male
abdijibaar,male
abdikaafi,male
abdikadar,male
abdikadir,female
abdikafi,male
abdikani,male
abdikariim,male
abdikarim,female
abdikarin,female
abdilaahi,male
abdiladif,male
abdilahi,male
abdillahi,female
abdimaalik,male
abdimalik,male
abdinasir,male
abdinur,male
abdiqaadir,male
abdiqadar,male
abdiqadir,male
abdiqafar,male
abdiqani,male
abdirahiim,male
abdirahim,male
abdirahmaan,male
abdirahman,female
abdirashid,female
abdirashiid,male
abdirazak,male
abdirisaaq,male
abdirisak,female
abdirisaq,female
abdirizak,female
abdirizaq,male
abdisalaan,male
abdisalam,male
abdisalan,male
abdisamad,male
abdisamed,male
abdishakur,male
abdishakuur,male
abdiwahaab,male
abdiwahab,male
abdiwahid,male
abdiwali,male
abdiweli,male
abdo,male
abdollah,male
abdon,male
abdou,male
abdoul,male
abdoulaye,male
abdoulie,male
abdu,male
abdukadir,male
abdul,male
abdul-Hussain,male
abdul-Latif,male
abdul-Malik,male
abdula,male
abdulaahi,male
abdulahi,male
abdulazeez,male
abdulaziz,male
abdulfatah,male
abdulgaadir,male
abdulgadir,male
abdulghani,male
abdulhadi,male
abdulhakim,male
abdulhamid,male
abdulhussain,male
abdulhussein,male
abduljabbar,male
abdulkader,male
abdulkadir,female
abdulkareem,male
abdulkarim,male
abdulkhaliq,male
abdulla,male
abdullaahi,male
abdullah,female
abdullahi,female
abdullatif,male
abdulle,female
abdulmajid,male
abdulmalik,male
abdulqader,male
